year,state,type,energySrc,amount,region
2005,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,383,west
2005,AK,"Electric Generators, Electric Utilities",Total,5946148,west
2005,AK,"Electric Generators, Electric Utilities",Coal,219320,west
2005,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1463942,west
2005,AK,"Electric Generators, Electric Utilities",Natural Gas,3576738,west
2005,AK,"Electric Generators, Electric Utilities",Petroleum,685559,west
2005,AK,"Electric Generators, Electric Utilities",Wind,589,west
2005,AK,"combined Heat and Power, Industrial Power",Total,211245,west
2005,AK,"combined Heat and Power, Industrial Power",Natural Gas,146888,west
2005,AK,"combined Heat and Power, Industrial Power",Other Biomass,4873,west
2005,AK,"combined Heat and Power, Industrial Power",Petroleum,59484,west
2005,AK,"combined Heat and Power, Electric Power",Total,173942,west
2005,AK,"combined Heat and Power, Electric Power",Coal,173942,west
2005,AK,"combined Heat and Power, Commercial Power",Total,245324,west
2005,AK,"combined Heat and Power, Commercial Power",Coal,231056,west
2005,AK,"combined Heat and Power, Commercial Power",Petroleum,13885,west
2005,AK,"combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,383,west
2006,AK,Total Electric Power Industry,Total,6674197,west
2006,AK,Total Electric Power Industry,Coal,617419,west
2006,AK,Total Electric Power Industry,Hydroelectric Conventional,1223607,west
2006,AK,Total Electric Power Industry,Natural Gas,4057730,west
2006,AK,Total Electric Power Industry,Other Biomass,6149,west
2006,AK,Total Electric Power Industry,Petroleum,767988,west
2006,AK,Total Electric Power Industry,Wind,788,west
2006,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,516,west
2006,AK,"Electric Generators, Electric Utilities",Total,6068520,west
2006,AK,"Electric Generators, Electric Utilities",Coal,209952,west
2006,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1223607,west
2006,AK,"Electric Generators, Electric Utilities",Natural Gas,3939921,west
2006,AK,"Electric Generators, Electric Utilities",Petroleum,694252,west
2006,AK,"Electric Generators, Electric Utilities",Wind,788,west
2006,AK,"combined Heat and Power, Industrial Power",Total,187760,west
2006,AK,"combined Heat and Power, Industrial Power",Natural Gas,117809,west
2006,AK,"combined Heat and Power, Industrial Power",Other Biomass,6149,west
2006,AK,"combined Heat and Power, Industrial Power",Petroleum,63802,west
2006,AK,"combined Heat and Power, Electric Power",Total,187376,west
2006,AK,"combined Heat and Power, Electric Power",Coal,187376,west
2006,AK,"combined Heat and Power, Commercial Power",Total,230541,west
2006,AK,"combined Heat and Power, Commercial Power",Coal,220091,west
2006,AK,"combined Heat and Power, Commercial Power",Petroleum,9934,west
2006,AK,"combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,516,west
2007,AK,Total Electric Power Industry,Total,6821392,west
2007,AK,Total Electric Power Industry,Coal,641409,west
2007,AK,Total Electric Power Industry,Hydroelectric Conventional,1291223,west
2007,AK,Total Electric Power Industry,Natural Gas,3867539,west
2007,AK,Total Electric Power Industry,Other Biomass,10196,west
2007,AK,Total Electric Power Industry,Petroleum,1009990,west
2007,AK,Total Electric Power Industry,Wind,1012,west
2007,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,22,west
2007,AK,"Electric Generators, Independent Power Producers",Total,80133,west
2007,AK,"Electric Generators, Independent Power Producers",Petroleum,79121,west
2007,AK,"Electric Generators, Independent Power Producers",Wind,1012,west
2007,AK,"Electric Generators, Electric Utilities",Total,6146078,west
2007,AK,"Electric Generators, Electric Utilities",Coal,213648,west
2007,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1291223,west
2007,AK,"Electric Generators, Electric Utilities",Natural Gas,3788325,west
2007,AK,"Electric Generators, Electric Utilities",Petroleum,852882,west
2007,AK,"combined Heat and Power, Industrial Power",Total,147405,west
2007,AK,"combined Heat and Power, Industrial Power",Natural Gas,78778,west
2007,AK,"combined Heat and Power, Industrial Power",Other Biomass,10196,west
